Var1,Unnamed_0,Sol,peak_centre,delta_P_obs,p_lor_fit,p_lsr_delta_P,p_lsr_peak_time,p_lsr_fit,pres_rate,delta_V,v_lor_fit,v_lsr_delta_V,v_lsr_peak_time,v_lsr_fit,backg_V,time_FWHM,theta_obs,azimuth,miss_distance,D,delta_P,peak_Bz,mag_rate
1,1,467,467.384055555556,-0.364346588578769,NaN,-0.350006176474167,467.384058496509,0.0088124001289081,10,NaN,NaN,NaN,NaN,NaN,9.44054134328358,5.98063510335344,5.48157554039267e-09,2.23222159103,27.2040789634362,18.1196651822152,-3.50576217398438,7.68099999999993,2
2,2,467,467.392407407407,-0.369808461298248,NaN,-0.350006243832344,467.392635132406,0.0046100499196295,10,NaN,NaN,NaN,NaN,NaN,10.5664696766169,58.0672403792072,8.03787199168507e-09,-2.75674526059551,244.136728906352,387.239887988747,-0.906476369762429,6.59000000000003,2
3,3,467,467.40937037037,-0.352999142210479,NaN,-0.350008317630161,467.409325800873,0.0072417947401185,10,NaN,NaN,NaN,NaN,NaN,10.4632900746269,15.7139222914513,3.60863263357522e-09,-1.10750658823023,97.6394632375952,NaN,0.952738109647067,2.96100000000001,2
4,4,467,467.421340277778,-0.416458361646505,NaN,-0.358082324627158,467.421343545834,0.010340496913818,10,NaN,NaN,NaN,NaN,NaN,9.2521039800995,2.90238891865866,7.05508631790348e-09,-0.0058531333765127,11.5356231183563,14.5468664211723,-1.25879462009486,0.567000000000007,2
5,5,467,467.433040509259,-0.604727718806885,NaN,-0.424274052104385,467.433030815548,0.0022160387726036,10,NaN,NaN,NaN,NaN,NaN,9.61266174129353,65.5043021308969,5.19119535698324e-09,-0.956510097585711,343.247753993466,NaN,2.78751697654766,0.663000000000011,2
6,6,467,467.458916666667,-0.591494296635801,NaN,-0.362011424349944,467.459125958278,0.0220413774305588,10,NaN,NaN,NaN,NaN,NaN,9.41124146766169,121.782670948758,7.99904658259601e-09,-0.121840941026474,464.920939334044,700.37988766547,-1.00008850927345,3.57899999999995,2
7,7,467,467.459484953704,-0.429939377355026,NaN,-0.429944806263967,467.459786319476,0.0120668763428108,10,NaN,NaN,NaN,NaN,NaN,10.3874102373704,199.651518864142,7.99904658259601e-09,-0.121840941026474,916.794107111484,1036.74604501529,-1.77478769239242,3.67499999999995,2
8,8,467,467.460101851852,-0.627547948225356,NaN,-0.545522577091413,467.459871527375,0.0232612278183805,10,NaN,NaN,NaN,NaN,NaN,10.5760241542289,65.3225072044913,7.99904658259601e-09,-0.121840941026474,344.014858881903,137.776773581565,-14.1497881786473,3.74900000000002,2
9,9,467,467.465837962963,-0.423297818398737,NaN,-0.428937071226381,467.465779330773,0.0067421217709374,10,NaN,NaN,NaN,NaN,NaN,5.27877664441611,51.9276245858536,2.046326548237e-08,1.31363532947043,75.6738334554769,233.684064900081,-0.60886013844737,3.5329999999999,2
10,10,467,467.474357638889,-0.478460255686627,NaN,-0.350000351230229,467.474366515163,0.0116209406371647,10,NaN,NaN,NaN,NaN,NaN,10.4326829420736,61.2952531648435,8.60563624001962e-09,-0.963406387767962,245.906648165274,424.23557431881,-0.820386846638674,2.16700000000003,2
11,11,467,467.488322916667,-0.365489413735759,NaN,-0.350001518843668,467.488400868649,0.0114448128231154,10,NaN,NaN,NaN,NaN,NaN,7.47900002604777,30.7704929793808,2.35212789482928e-08,-1.88172184636274,53.5287568493079,207.783912863962,-0.44291535568117,7.98900000000003,2
